"Value","measuredItemChildCPC","measuredItemParentCPC","geographicAreaM49","measuredShare","timePointYearsSP"
1,"21424","01372","0","1","0"
1,"21422","01371","0","1","0"
1,"21429.02","01376","0","1","0"
0,"F0235","01375","0","1","0"
1,"21423","01374","0","1","0"
0,"F0235","21429.01","0","1","0"
0,"F0235","21424","0","1","0"
0,"F0235","21422","0","1","0"
0,"F0235","21429.02","0","1","0"
0,"F0235","21423","0","1","0"
1,"F0235","01379.90","0","1","0"
1,"23995.01","0141","0","1","0"
1,"23995.02","0141","0","1","0"
1,"23999.03","0141","0","1","0"
0,"21920","0141","0","1","0"
0,"21700.01","2161","0","1","0"
0,"21700.02","2161","0","1","0"
0,"F1243","2161","0","1","0"
0,"F1275","2161","0","1","0"
0,"34120","2161","0","1","0"
1,"21421","0142","0","1","0"
0,"F0235","21421","0","1","0"
1,"21495.01","21421","0","1","0"
1,"21495.02","21421","0","1","0"
0,"21700.01","2162","0","1","0"
0,"21700.02","2162","0","1","0"
0,"F1243","2162","0","1","0"
0,"34550","2162","0","1","0"
0,"F1275","2162","0","1","0"
0,"34120","2162","0","1","0"
1,"21429.07","01460","0","1","0"
1,"01492","01460","0","1","0"
0,"21700.01","2166","0","1","0"
0,"21700.02","2166","0","1","0"
0,"F1243","2166","0","1","0"
0,"34550","2166","0","1","0"
0,"F1275","2166","0","1","0"
0,"34120","2166","0","1","0"
0,"21700.01","2165","0","1","0"
0,"21700.02","2165","0","1","0"
0,"F1243","2165","0","1","0"
0,"34550","2165","0","1","0"
0,"F1275","2165","0","1","0"
1,"34120","2165","0","1","0"
1,"21932.02","2165","0","1","0"
0,"21700.01","21691.14","0","1","0"
0,"21700.02","21691.14","0","1","0"
0,"F1243","21691.14","0","1","0"
0,"34550","21691.14","0","1","0"
0,"F1275","21691.14","0","1","0"
0,"34120","21691.14","0","1","0"
1,"F0262","01450","0","1","0"
0,"21700.02","21691.04","0","1","0"
0,"F1243","21691.04","0","1","0"
1,"21693.02","21691.04","0","1","0"
0,"34550","21691.04","0","1","0"
0,"34120","21691.04","0","1","0"
0,"21700.01","21631.01","0","1","0"
0,"21700.02","21631.01","0","1","0"
0,"F1243","21631.01","0","1","0"
0,"34550","21631.01","0","1","0"
0,"F1275","21631.01","0","1","0"
0,"34120","21631.01","0","1","0"
0,"21920","01443","0","1","0"
0,"21700.01","21641.01","0","1","0"
0,"21700.02","21641.01","0","1","0"
0,"F1243","21641.01","0","1","0"
0,"34550","21641.01","0","1","0"
0,"F1275","21641.01","0","1","0"
0,"34120","21641.01","0","1","0"
0,"21700.01","21673","0","1","0"
0,"21700.02","21673","0","1","0"
0,"F1243","21673","0","1","0"
0,"34550","21673","0","1","0"
0,"F1275","21673","0","1","0"
0,"34120","21673","0","1","0"
0,"21700.01","21631.02","0","1","0"
0,"21700.02","21631.02","0","1","0"
0,"F1243","21631.02","0","1","0"
0,"34550","21631.02","0","1","0"
0,"F1275","21631.02","0","1","0"
0,"34120","21631.02","0","1","0"
0,"21700.01","21691.07","0","1","0"
0,"21700.02","21691.07","0","1","0"
0,"F1243","21691.07","0","1","0"
0,"34550","21691.07","0","1","0"
0,"F1275","21691.07","0","1","0"
0,"34120","21691.07","0","1","0"
1,"23995.03","01442","0","1","0"
0,"21920","01442","0","1","0"
0,"21700.01","21641.02","0","1","0"
0,"21700.02","21641.02","0","1","0"
0,"F1243","21641.02","0","1","0"
0,"F1275","21641.02","0","1","0"
0,"21700.01","2168","0","1","0"
0,"21700.02","2168","0","1","0"
0,"F1243","2168","0","1","0"
0,"F1275","2168","0","1","0"
0,"21700.01","21691.12","0","1","0"
0,"21700.02","21691.12","0","1","0"
0,"F1243","21691.12","0","1","0"
1,"34550","21691.12","0","1","0"
0,"F1275","21691.12","0","1","0"
0,"21700.01","21691.13","0","1","0"
0,"21700.02","21691.13","0","1","0"
0,"F1243","21691.13","0","1","0"
0,"F1275","21691.13","0","1","0"
1,"21920","01449.90","0","1","0"
1,"21700.01","21691.90","0","1","0"
1,"21700.02","21691.90","0","1","0"
0,"F1243","21691.90","0","1","0"
0,"34550","21691.90","0","1","0"
1,"F1275","21691.90","0","1","0"
0,NA,"01212","0","1","0"
0,"21340","01212","0","1","0"
0,"F0472","01212","0","1","0"
0,"21330","01212","0","1","0"
0,NA,"01216","0","1","0"
0,"21340","01216","0","1","0"
0,"F0472","01216","0","1","0"
0,"F0473","01216","0","1","0"
0,"21330","01216","0","1","0"
0,NA,"01211","0","1","0"
0,"21340","01211","0","1","0"
0,"F0472","01211","0","1","0"
0,"F0473","01211","0","1","0"
